date,region,coal,gas_naptha_and_diesel,hydro,lignite,nuclear,res_wind_solar_biomass_and_others,solar_gen_mu,thermal_coal_and_lignite,total,wind_genmu
2013-04-18,SR,,,65.0,,,,,,728.0,38.0
2013-04-18,WR,,,48.0,,,,,,864.0,32.0
2013-04-19,ER,,,33.0,,,,,,285.0,0.0
2013-04-19,NER,,,5.0,,,,,,27.0,0.0
2013-04-19,NR,,,137.0,,,,,,719.0,16.0
2013-04-19,SR,,,69.0,,,,,,718.0,24.0
2013-04-19,WR,,,35.0,,,,,,828.0,28.0
2013-04-20,ER,,,27.0,,,,,,273.0,0.0
2013-04-20,NER,,,6.0,,,,,,26.0,0.0
2013-04-20,NR,,,135.0,,,,,,716.0,15.0
2013-04-20,SR,,,52.0,,,,,,710.0,28.0
2013-04-20,WR,,,37.0,,,,,,794.0,29.0
2013-04-21,ER,,,25.0,,,,,,265.0,0.0
2013-04-21,NER,,,5.0,,,,,,27.0,0.0
2013-04-21,NR,,,131.0,,,,,,681.0,5.0
2013-04-21,SR,,,48.0,,,,,,685.0,17.0
2013-04-21,WR,,,31.0,,,,,,797.0,18.0
2013-04-22,ER,,,34.0,,,,,,280.0,0.0
2013-04-22,NER,,,5.0,,,,,,28.0,0.0
2013-04-22,NR,,,133.0,,,,,,699.0,5.0
2013-04-22,SR,,,55.0,,,,,,701.0,14.0
2013-04-22,WR,,,39.0,,,,,,829.0,13.0
2013-04-23,ER,,,37.0,,,,,,298.0,0.0
2013-04-23,NER,,,6.0,,,,,,28.0,0.0
2013-04-23,NR,,,137.0,,,,,,723.0,2.0
2013-04-23,SR,,,57.0,,,,,,705.0,11.0
2013-04-23,WR,,,67.0,,,,,,852.0,14.0
2013-04-24,ER,,,38.0,,,,,,302.0,0.0
2013-04-24,NER,,,5.0,,,,,,28.0,0.0
2013-04-24,NR,,,147.0,,,,,,749.0,5.0
2013-04-24,SR,,,67.0,,,,,,694.0,9.0
2013-04-24,WR,,,63.0,,,,,,870.0,23.0
2013-04-25,ER,,,36.0,,,,,,315.0,0.0
2013-04-25,NER,,,4.0,,,,,,27.0,0.0
2013-04-25,NR,,,156.0,,,,,,754.0,5.0
2013-04-25,SR,,,58.0,,,,,,695.0,11.0
2013-04-25,WR,,,54.0,,,,,,862.0,33.0
2013-04-26,ER,,,29.0,,,,,,313.0,0.0
2013-04-26,NER,,,5.0,,,,,,28.0,0.0
2013-04-26,NR,,,170.0,,,,,,748.0,5.0
2013-04-26,SR,,,57.0,,,,,,687.0,7.0
2013-04-26,WR,,,39.0,,,,,,846.0,26.0
2013-04-27,ER,,,46.0,,,,,,332.0,0.0
2013-04-27,NER,,,4.0,,,,,,27.0,0.0
2013-04-27,NR,,,171.0,,,,,,748.0,6.0
2013-04-27,SR,,,59.0,,,,,,695.0,10.0
2013-04-27,WR,,,40.0,,,,,,876.0,29.0
2013-04-28,ER,,,40.0,,,,,,316.0,0.0
2013-04-28,NER,,,4.0,,,,,,27.0,0.0
2013-04-28,NR,,,159.0,,,,,,736.0,7.0
2013-04-28,SR,,,32.0,,,,,,691.0,29.0
2013-04-28,WR,,,30.0,,,,,,865.0,31.0
2013-04-29,ER,,,46.0,,,,,,328.0,0.0
2013-04-29,NER,,,5.0,,,,,,28.0,0.0
2013-04-29,NR,,,160.0,,,,,,767.0,5.0
2013-04-29,SR,,,48.0,,,,,,695.0,20.0
2013-04-29,WR,,,39.0,,,,,,895.0,28.0
2013-04-30,ER,,,51.0,,,,,,335.0,0.0
2013-04-30,NER,,,4.0,,,,,,28.0,0.0
2013-04-30,NR,,,167.0,,,,,,787.0,6.0
2013-04-30,SR,,,58.0,,,,,,703.0,7.0
2013-04-30,WR,,,38.0,,,,,,902.0,19.0
2013-05-01,ER,,,48.0,,,,,,319.0,0.0
2013-05-01,NER,,,6.0,,,,,,28.0,0.0
2013-05-01,NR,,,166.0,,,,,,783.0,8.0
2013-05-01,SR,,,44.0,,,,,,677.0,8.0
2013-05-01,WR,,,29.0,,,,,,856.0,20.0
2013-05-02,ER,,,55.0,,,,,,327.0,0.0
2013-05-02,NER,,,4.0,,,,,,25.0,0.0
2013-05-02,NR,,,165.0,,,,,,784.0,2.0
2013-05-02,SR,,,55.0,,,,,,688.0,26.0
2013-05-02,WR,,,39.0,,,,,,873.0,27.0
2013-05-03,ER,,,52.0,,,,,,320.0,0.0
2013-05-03,NER,,,8.0,,,,,,25.0,0.0
2013-05-03,NR,,,164.0,,,,,,793.0,3.0
2013-05-03,SR,,,54.0,,,,,,722.0,46.0
2013-05-03,WR,,,34.0,,,,,,876.0,43.0
2013-05-04,ER,,,47.0,,,,,,312.0,0.0
2013-05-04,NER,,,6.0,,,,,,25.0,0.0
2013-05-04,NR,,,169.0,,,,,,797.0,9.0
2013-05-04,SR,,,57.0,,,,,,714.0,33.0
2013-05-04,WR,,,40.0,,,,,,880.0,45.0
2013-05-05,ER,,,45.0,,,,,,296.0,0.0
2013-05-05,NER,,,9.0,,,,,,24.0,0.0
2013-05-05,NR,,,170.0,,,,,,795.0,6.0
2013-05-05,SR,,,51.0,,,,,,688.0,13.0
2013-05-05,WR,,,41.0,,,,,,862.0,40.0
2013-05-06,ER,,,37.0,,,,,,307.0,0.0
2013-05-06,NER,,,10.0,,,,,,26.0,0.0
2013-05-06,NR,,,177.0,,,,,,823.0,4.0
2013-05-06,SR,,,64.0,,,,,,696.0,11.0
2013-05-06,WR,,,57.0,,,,,,888.0,24.0
2013-05-07,ER,,,37.0,,,,,,312.0,0.0
2013-05-07,NER,,,9.0,,,,,,27.0,0.0
2013-05-07,NR,,,173.0,,,,,,811.0,4.0
2013-05-07,SR,,,61.0,,,,,,701.0,23.0
2013-05-07,WR,,,69.0,,,,,,891.0,26.0
2013-05-08,ER,,,43.0,,,,,,328.0,0.0
2013-05-08,NER,,,9.0,,,,,,28.0,0.0
2013-05-08,NR,,,182.0,,,,,,836.0,12.0
2013-05-08,SR,,,64.0,,,,,,729.0,46.0
2013-05-08,WR,,,64.0,,,,,,892.0,32.0
2013-05-09,ER,,,43.0,,,,,,327.0,0.0
2013-05-09,NER,,,11.0,,,,,,27.0,0.0
2013-05-09,NR,,,198.0,,,,,,852.0,11.0
2013-05-09,SR,,,56.0,,,,,,714.0,54.0
2013-05-09,WR,,,49.0,,,,,,894.0,33.0
2013-05-10,ER,,,49.0,,,,,,327.0,0.0
2013-05-10,NER,,,10.0,,,,,,27.0,0.0
2013-05-10,NR,,,214.0,,,,,,857.0,16.0
2013-05-10,SR,,,45.0,,,,,,722.0,66.0
2013-05-10,WR,,,43.0,,,,,,878.0,32.0
2013-05-11,ER,,,49.0,,,,,,327.0,0.0
2013-05-11,NER,,,11.0,,,,,,29.0,0.0
2013-05-11,NR,,,211.0,,,,,,819.0,8.0
